"Guid","AccountNumber","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","Site","Test_Field__c","Type","Website","new_acc_field_pick__c","pick1__c","pickmulti__c","test1__c","test__c"
248a4307-6b1b-40bf-b753-3db497ba68f6,"#N/A","#N/A",4.93945873E8,Bacchus Marsh,Australia,"#N/A","#N/A","#N/A",3340,VIC,57 Clifton Dr,PK South is the leader in Healthcare in Bacchus Marsh,"#N/A",Healthcare,"#N/A",Gigaclub,"#N/A","#N/A",(03) 6472 8807,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Bacchus Marsh,Australia,"#N/A","#N/A","#N/A",3340,VIC,57 Clifton Dr,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
2e1dc75f-aae5-408f-83b3-aeef8da4c5ab,"#N/A","#N/A",5.85033103E8,Hunters Hill,Australia,"#N/A","#N/A","#N/A",2110,NSW,6/10 Mount St,CG South is the leader in Healthcare in Hunters Hill,"#N/A",Healthcare,"#N/A",Jabberstorm,"#N/A","#N/A",(02) 6279 8265,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Hunters Hill,Australia,"#N/A","#N/A","#N/A",2110,NSW,6/10 Mount St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
2ef17076-9c51-4f3b-a815-d31f6cddf6ef,"#N/A","#N/A",6.39903177E8,Sydney,Australia,"#N/A","#N/A","#N/A",2007,NSW,390 Harris Street,Petrox Oil Company is the leader in Energy in Sydney,"#N/A",Energy,"#N/A",Kwideo,"#N/A","#N/A",(02) 7948 6474,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Sydney,Australia,"#N/A","#N/A","#N/A",2007,NSW,390 Harris Street,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
30fc85c3-51d5-4dd2-bfb7-934f4252ea42,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Sample Account for Entitlements,"#N/A","#N/A","#N/A",false,false,"#N/A","#N/A","#N/A",false,true,"#N/A",Contract Based,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
32c824fb-58b1-404e-908d-76054916c51d,"#N/A","#N/A",2.21928169E8,Kingsgrove,Australia,"#N/A","#N/A","#N/A",1480,NSW,23 Lundy Av,Spacely Sprockets is the leader in Technology in Kingsgrove,"#N/A",Technology,"#N/A",Aibox,"#N/A",33e6bf88-a0be-4e78-a78c-4592fd55cc28,(02) 6082 8265,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Kingsgrove,Australia,"#N/A","#N/A","#N/A",1480,NSW,23 Lundy Av,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
33d52351-c36f-4c85-939b-d767f602eed2,"#N/A","#N/A",1.58331476E8,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,Galaxy Corp is the leader in Banking in Melbourne,"#N/A",Banking,"#N/A",Mycat,"#N/A","#N/A",(03) 7578 7328,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
33e6bf88-a0be-4e78-a78c-4592fd55cc28,"#N/A","#N/A",3.1469E10,Falls Church,United States,"#N/A","#N/A","#N/A",22042,VA,2941 Frview Pk Dr Ste 100,Keading Transportation Services is the leader in Transportation in Falls Church,"#N/A",Transportation,"#N/A",Buzzshare,"#N/A",04bf25f3-d71e-4a20-81af-86c1cc11da7c,1.703.876.3000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3446c3f2-04ae-485e-99c1-d1093998556b,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",CompanyX,879,"#N/A",353465768,false,false,"#N/A","#N/A","#N/A",false,true,"#N/A",Contract Based,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
345c9ff4-2dce-4326-922f-6afaa4978959,"#N/A","#N/A",1.35962E11,Chesterbrook,United States,"#N/A","#N/A","#N/A",19087-5594,PA,1300 Morris Dr Ste 100,Apogee Corp. is the leader in Manufacturing in Chesterbrook,"#N/A",Manufacturing,"#N/A",Divavu,"#N/A","#N/A",1.610.727.7000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Valley Forge,US,"#N/A","#N/A","#N/A",19482-0959,PA,P.O. BOX 959,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3c0d3d73-cf7f-4776-a50e-6cd42bb075c1,"#N/A","#N/A",5.4289E10,Louisville,United States,"#N/A","#N/A","#N/A",40202-4268,KY,500 W Main St Ste 300,Ankh-Sto Associates is the leader in Apparel in Louisville,"#N/A",Apparel,"#N/A",Topicblab,"#N/A","#N/A",1.502.580.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Louisville,US,"#N/A","#N/A","#N/A",40214-0601,KY,P.O. BOX 14601,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3c53dbdc-6b6c-480c-8b3b-67b9e3ae6e58,"#N/A","#N/A",5.0687142E10,Bloomington,United States,"#N/A","#N/A","#N/A",61710-0001,IL,1 State Farm Plz,Delphi Energy is the leader in Energy in Bloomington,"#N/A",Energy,"#N/A",Pixonyx,"#N/A","#N/A",1.309.766.2311,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3cca4327-9c53-48e8-afff-b5d6ce3fe040,"#N/A","#N/A",1.89167866E8,Zurich,Switzerland,"#N/A","#N/A","#N/A","#N/A","#N/A",avenue Nestlé 55,TSM North is the leader in Healthcare,"#N/A",Healthcare,"#N/A",Topicware,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3ffac933-1b01-44bf-8cc4-a19d91931dac,"#N/A","#N/A",3645701.0,Bloomington,United States,"#N/A","#N/A","#N/A",47405,IN,2 Graceland Street,"#N/A","#N/A",Manufacturing,"#N/A",Photobug,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
4040b9f3-6acf-4b0f-9140-2752e31482fa,"#N/A","#N/A",4.33338781E8,Docklands,Australia,"#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,Gizmonic Institute is the leader in Media in Docklands,"#N/A",Media,"#N/A",Ooba,"#N/A","#N/A",(03) 6257 7887,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Docklands,Australia,"#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
4062dbac-734a-4e1b-a2f0-2cdca4ff654d,"#N/A","#N/A",4.15880303E8,Balaclava,Australia,"#N/A","#N/A","#N/A",3183,VIC,5/5a The Avenue,Praveen Kagalkar Hospital is the leader in Healthcare in Balaclava,"#N/A",Healthcare,"#N/A",Babbleopia,"#N/A","#N/A",(03) 8569 6279,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Balaclava,Australia,"#N/A","#N/A","#N/A",3183,VIC,5/5a The Avenue,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
422f4163-8e4e-4bb7-898c-b0c7ee7d2f4c,"#N/A","#N/A",7.6279E10,Cincinnati,United States,"#N/A","#N/A","#N/A",45202-3393,OH,1 Procter and Gamble Plz,ADM Goods is the leader in Consumer Goods in Cincinnati,"#N/A",Consumer Goods,"#N/A",Voonix,"#N/A","#N/A",1.513.983.1100,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Cincinnati,US,"#N/A","#N/A","#N/A",45201-0599,OH,P.O. BOX 599,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
4545c68e-3d88-470d-9a03-9f7bf0ad5c0f,"#N/A","#N/A",3.9528E10,Richfield,United States,"#N/A","#N/A","#N/A",55423-3683,MN,7601 Penn Ave S,"Kustodial Services, LLC is the leader in Services in Richfield","#N/A",Services,"#N/A",Avaveo,"#N/A","#N/A",1.612.291.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
460ebf45-bb49-4a1e-86c0-e1102ba24754,"#N/A","#N/A",1.49558E11,Dearborn,United States,"#N/A","#N/A","#N/A",48126-2701,MI,1 American Rd,"Tension, Inc. is the leader in Energy in Dearborn","#N/A",Energy,"#N/A",Gabtype,"#N/A","#N/A",1.313.322.3000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Dearborn,US,"#N/A","#N/A","#N/A",48121-0685,MI,P.O. BOX 685,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
